date,stars_added,total_stars
2011-09-30,1,1
2011-10-18,1,2
2014-07-01,1,3
2014-10-25,1,4
2015-02-01,1,5
2015-02-11,1,6
2015-06-22,1,7
2015-08-28,1,8
2015-09-28,1,9
2015-09-29,1,10
2016-01-28,2,12
2016-01-30,1,13
2016-02-02,1,14
2016-03-15,1,15
2016-04-21,1,16
2016-06-01,1,17
2016-08-03,1,18
2016-09-17,1,19
2017-01-25,1,20
2017-02-18,1,21
2017-05-23,1,22
2017-06-15,1,23
2017-07-26,1,24
2017-08-24,1,25
2017-09-14,1,26
2017-11-23,1,27
2017-12-04,1,28
2018-01-23,1,29
2018-01-25,1,30
2018-01-31,1,31
2018-02-07,1,32
2018-02-23,1,33
2018-03-10,1,34
2018-03-29,1,35
2018-04-13,1,36
2018-04-18,1,37
2018-05-29,1,38
2018-06-18,1,39
2018-07-06,1,40
2018-07-11,1,41
2018-08-20,1,42
2018-10-23,1,43
2018-11-06,1,44
2018-11-22,1,45
2019-01-16,1,46
2019-01-28,1,47
2019-02-14,1,48
2019-02-28,1,49
2019-03-06,1,50
2019-03-19,1,51
2019-04-26,1,52
2019-06-26,1,53
2019-07-08,1,54
2019-08-15,1,55
2019-08-30,1,56
2019-09-30,1,57
2019-11-13,1,58
2019-11-22,1,59
2019-12-17,1,60
2019-12-23,1,61
2020-01-06,2,63
2020-03-04,1,64
2020-05-02,1,65
2020-05-08,1,66
2020-05-31,1,67
2020-06-28,1,68
2020-07-29,1,69
2020-10-03,1,70
2021-02-22,1,71
2021-03-07,1,72
2021-04-06,1,73
2021-04-27,1,74
2021-05-23,1,75
2021-06-04,1,76
2021-06-30,1,77
2021-07-27,1,78
2021-07-30,1,79
2021-08-11,1,80
2021-08-19,1,81
2021-09-10,1,82
2021-09-28,1,83
2021-11-01,1,84
2021-11-13,1,85
2022-01-06,1,86
2022-04-18,1,87
2022-04-25,1,88
2022-05-05,1,89
2022-05-19,1,90
2022-05-24,1,91
2022-06-13,1,92
2022-08-05,1,93
2022-09-03,1,94
2022-09-07,1,95
2022-10-31,1,96
2022-12-10,1,97
2023-02-15,1,98
2023-02-25,1,99
2023-03-06,1,100
2023-03-16,1,101
2023-04-21,1,102
2023-04-22,1,103
2023-04-26,1,104
2023-04-30,1,105
2023-05-10,1,106
2023-05-19,1,107
2023-05-24,1,108
2023-06-08,1,109
2023-06-12,1,110
2023-06-19,1,111
2023-06-27,1,112
2023-07-03,1,113
2023-08-07,2,115
2023-08-14,1,116
2023-09-01,1,117
2023-10-23,2,119
2023-10-31,1,120
2023-11-03,2,122
2023-11-06,1,123
2023-12-14,1,124
2024-01-28,1,125
2024-02-27,1,126
2024-04-02,1,127
2024-04-06,1,128
2024-04-12,1,129
2024-04-16,1,130
2024-05-25,1,131
2024-07-03,1,132
2024-07-15,1,133
2024-08-15,1,134
2024-08-16,1,135
2024-08-18,1,136
2024-09-04,1,137
2024-09-11,1,138
2024-11-22,1,139
2024-11-25,1,140
2024-12-23,1,141
2024-12-28,1,142
2025-01-17,1,143
2025-01-22,1,144
2025-02-21,1,145
2025-02-24,1,146
2025-03-21,1,147
2025-03-22,1,148
2025-04-06,1,149
2025-04-07,1,150
2025-05-05,1,151
2025-07-08,1,152
2025-08-10,1,153
2025-09-18,2,155
2025-11-06,2,157
2025-11-10,1,158
2025-12-12,1,159
2025-12-24,1,160
2025-12-27,1,161
2026-01-05,1,162
2026-01-28,1,163
2026-02-05,1,164
2026-02-09,1,165
2026-02-12,1,166
2026-02-22,1,167
2026-02-26,1,168
